year,pick,team,name,college,yrs,gms,min,pts,trb,ast,fg%,3p%,ft%,mpg,ppg,rpg,apg,ws,ws/48,bpm,vorp,link,at_col,mvps,roy,dpoys,smoys,mips,fmvps,1st_team,2nd_team,3rd_team,all_nba,all_star,franchise,active
1977,1,MIL,Kent Benson,Indiana,11,680,15719,6168,3881,1203,0.493,0,0.757,23.1,9.1,5.7,1.8,33.6,0.103,0.2,8.8,/players/b/bensoke01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1977,2,KCK,Otis Birdsong,Houston,12,696,21627,12544,2072,2260,0.506,0,0.655,31.1,18,3,3.2,48.2,0.107,0.6,14.3,/players/b/birdsot01.html,TRUE,0,FALSE,0,0,0,0,0,1,0,1,4,SAC,FALSE
1977,3,MIL,Marques Johnson,UCLA,11,691,23694,13892,4817,2502,0.518,0,0.739,34.3,20.1,7,3.6,79.8,0.162,3.3,31.7,/players/j/johnsma01.html,TRUE,0,FALSE,0,0,0,0,1,2,0,3,5,MIL,FALSE
1977,4,WSB,Greg Ballard,Oregon,11,802,22073,9953,4858,1733,0.472,0,0.787,27.5,12.4,6.1,2.2,54,0.117,1.2,18.1,/players/b/ballagr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1977,5,PHO,Walter Davis,UNC,15,1033,28859,19521,3053,3878,0.511,0,0.851,27.9,18.9,3,3.8,76.9,0.128,1.5,25.3,/players/d/daviswa03.html,TRUE,0,TRUE,0,0,0,0,0,2,0,2,6,PHO,FALSE
1977,6,LAL,Kenny Carr,NC State,10,674,17167,7813,4999,923,0.51,0,0.684,25.5,11.6,7.4,1.4,33.6,0.094,-1.5,2.3,/players/c/carrke01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAL,FALSE
1977,7,NJN,Bernard King,Tennessee,14,874,29417,19655,5060,2863,0.518,0,0.73,33.7,22.5,5.8,3.3,75.4,0.123,1.7,27,/players/k/kingbe01.html,TRUE,0,FALSE,0,0,0,0,2,1,1,4,4,BRK,FALSE
1977,8,SEA,Jack Sikma,Illinois Wesleyan University,14,1107,36943,17287,10816,3488,0.464,0,0.849,33.4,15.6,9.8,3.2,112.5,0.146,2,37,/players/s/sikmaja01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,7,OKC,FALSE
1977,9,DEN,Tom LaGarde,UNC,6,312,6194,2376,1593,456,0.462,0,0.64,19.9,7.6,5.1,1.5,6.5,0.05,-3,-1.6,/players/l/lagarto01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,DEN,FALSE
1977,10,NYK,Ray Williams,Minnesota,10,655,18462,10158,2370,3779,0.451,0,0.802,28.2,15.5,3.6,5.8,37.1,0.096,1.6,16.8,/players/w/willira01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1977,11,MIL,Ernie Grunfeld,Tennessee,9,693,12916,5124,1815,1419,0.477,0,0.77,18.6,7.4,2.6,2,25,0.093,-0.5,4.9,/players/g/grunfer01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1977,12,BOS,Cedric Maxwell,UNC Charlotte,11,835,23769,10465,5261,1862,0.546,0,0.784,28.5,12.5,6.3,2.2,78.5,0.159,1.7,22.1,/players/m/maxwece01.html,TRUE,0,FALSE,0,0,0,1,0,0,0,0,0,BOS,FALSE
1977,13,CHI,Tate Armstrong,Duke,2,92,975,350,88,105,0.454,0,0.8,10.6,3.8,1,1.1,0.3,0.017,-3.1,-0.3,/players/a/armstta01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1977,14,ATL,Tree Rollins,Clemson,18,1156,24028,6249,6750,660,0.522,0,0.7,20.8,5.4,5.8,0.6,63.9,0.128,1.1,18.8,/players/r/rollitr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,ATL,FALSE
1977,15,LAL,Brad Davis,Maryland,15,961,22302,7866,1738,4709,0.51,0,0.828,23.2,8.2,1.8,4.9,53.6,0.115,0.1,12.1,/players/d/davisbr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAL,FALSE
1977,16,GSW,Rickey Green,Michigan,14,946,23271,8870,1819,5221,0.469,0,0.807,24.6,9.4,1.9,5.5,47.2,0.097,0.5,15,/players/g/greenri01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,1,GSW,FALSE
1977,17,WSB,Bo Ellis,Marquette,3,168,1984,613,482,113,0.431,0,0.731,11.8,3.6,2.9,0.7,2.5,0.06,-2.6,-0.3,/players/e/ellisbo02.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1977,18,GSW,Wesley Cox,Louisville,2,74,813,342,206,23,0.412,0,0.51,11,4.6,2.8,0.3,0.1,0.007,-6,-0.9,/players/c/coxwe01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1977,19,POR,Rich Laurel,Hofstra,1,10,57,24,10,3,0.323,0,1,5.7,2.4,1,0.3,0,-0.034,-5.1,-0.1,/players/l/laureri01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,POR,FALSE
1977,20,PHI,Glenn Mosley,Seton Hall,2,32,242,98,69,21,0.409,0,0.578,7.6,3.1,2.2,0.7,0.2,0.042,-2.9,-0.1,/players/m/moslegl01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHI,FALSE
1977,21,DEN,Anthony Roberts,Oral Roberts,5,213,3867,1658,837,265,0.412,0,0.699,18.2,7.8,3.9,1.2,3.3,0.041,-4.2,-2.3,/players/r/roberan01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,DEN,FALSE
1977,22,LAL,Norm Nixon,Duquesne,10,768,27250,12065,1991,6386,0.483,0,0.772,35.5,15.7,2.6,8.3,47.6,0.084,-0.5,10.2,/players/n/nixonno01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,2,LAL,FALSE
1977,23,CHI,Mike Glenn,Southern Illinois,10,593,9617,4496,710,952,0.542,0,0.855,16.2,7.6,1.2,1.6,25.3,0.126,0.3,5.6,/players/g/glennmi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1977,24,BUF,Larry Johnson,Kentucky,1,4,38,6,5,7,0.231,0,0,9.5,1.5,1.3,1.8,-0.1,-0.099,-2.9,0,/players/j/johnsla01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,LAC,FALSE
1977,25,PHI,Wilson Washington,Old Dominion,2,100,1700,731,450,57,0.497,0,0.605,17,7.3,4.5,0.6,2.1,0.06,-2.4,-0.2,/players/w/washiwi01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,PHI,FALSE
1977,26,NYK,Glen Gondrezick,UNLV,6,435,7545,2544,1964,605,0.473,0,0.724,17.3,5.8,4.5,1.4,15.9,0.101,0.2,4.2,/players/g/gondrgl01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1977,27,MIL,Glen Williams,St. John's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/w/willigl01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,MIL,FALSE
1977,28,POR,Kim Anderson,Missouri,1,21,224,63,45,15,0.312,0,0.536,10.7,3,2.1,0.7,-0.4,-0.078,-7.5,-0.4,/players/a/anderki01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,POR,FALSE
1977,29,IND,Alonzo Bradley,Texas Southern,3,99,1139,440,151,74,0.418,0,0.703,11.5,4.4,1.5,0.7,-0.2,-0.007,-4.6,-0.8,/players/b/bradlal01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,IND,FALSE
1977,30,CHI,Steve Sheppard,Maryland,2,106,977,367,178,62,0.459,0,0.633,9.2,3.5,1.7,0.6,0.9,0.045,-3,-0.2,/players/s/sheppst01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1977,31,KCK,Eddie Owens,UNLV,1,8,63,21,10,5,0.429,0,0.5,7.9,2.6,1.3,0.6,0,0.027,-3.9,0,/players/o/owensed01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAC,FALSE
1977,32,NYK,Toby Knight,Notre Dame,4,283,7331,3640,1444,335,0.519,0,0.74,25.9,12.9,5.1,1.2,15.7,0.103,-0.9,2.1,/players/k/knighto01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,NYK,FALSE
1977,33,CLE,Eddie Jordan,Rutgers University,7,420,8507,3414,788,1595,0.414,0,0.763,20.3,8.1,1.9,3.8,8.8,0.05,-0.3,3.6,/players/j/jordaed01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CLE,FALSE
1977,34,HOU,Larry Moffett,UNLV,1,20,110,16,21,7,0.294,0,0.6,5.5,0.8,1.1,0.4,-0.1,-0.042,-4.6,-0.1,/players/m/moffela01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1977,35,CHI,Mark Landsberger,Arizona State,7,437,7306,2468,2681,236,0.481,0,0.522,16.7,5.6,6.1,0.5,12.2,0.08,-3,-1.9,/players/l/landsma01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,CHI,FALSE
1977,36,DET,Ben Poquette,Central Michigan University,10,718,15763,4899,3731,872,0.483,0,0.779,22,6.8,5.2,1.2,30.4,0.093,-0.7,5.3,/players/p/poquebe01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,DET,FALSE
1977,37,SAS,Jeff Wilkins,Illinois State,6,454,10004,3575,2574,462,0.459,0,0.743,22,7.9,5.7,1,8.8,0.042,-3.9,-4.8,/players/w/wilkije01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,SAS,FALSE
1977,38,GSW,Ricky Love,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,/players/l/loveri01.html,FALSE,0,FALSE,0,0,0,0,0,0,0,0,0,GSW,FALSE
1977,39,WSB,Phil Walker,Millersville,1,40,384,178,52,54,0.354,0,0.667,9.6,4.5,1.3,1.4,-0.4,-0.045,-4.6,-0.3,/players/w/walkeph01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,WAS,FALSE
1977,40,HOU,Robert Reid,St. Mary's University,13,919,25109,10448,4168,2500,0.458,0,0.732,27.3,11.4,4.5,2.7,40.3,0.077,-0.7,8.2,/players/r/reidro01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,HOU,FALSE
1977,41,POR,T.R. Dunn,Alabama,14,993,23080,5033,4371,1631,0.457,0,0.725,23.2,5.1,4.4,1.6,39.8,0.083,0,11.5,/players/d/dunntr01.html,TRUE,0,FALSE,0,0,0,0,0,0,0,0,0,POR,FALSE
